Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	234736417	236259762	819	0.2494
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	236260213	243464667	5276	0.3294
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	243465111	247650984	2053	0.2819
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	480597	8355258	4819	-0.0172
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	8355351	12032521	2516	-0.0646
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	12037127	23826583	7940	-0.0049
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	23826664	29192502	2462	-0.0996
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	29192559	48619508	11467	-0.0314
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	48619938	59875633	6186	0.0089
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	59877786	62411905	1355	-0.0554
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	62413107	67941220	3370	-0.0196
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	67941683	75127075	4037	-0.0688
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	75129717	83829199	4672	-0.0025
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	83836857	85283302	847	-0.0441
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	85283842	85525716	122	-0.1897
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	85532004	102164849	4360	-0.0389
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	102165169	109690000	4627	0.0197
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	109690167	114386166	1864	-0.0304
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	114387061	124265167	5494	0.0324
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	124265289	126739846	716	-0.6447
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	126742262	128360641	874	-0.0035
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	128366761	134329387	2761	0.0549
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	134329638	136531553	1262	-0.0042
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	136540772	200626558	35939	0.0552
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	200626837	203449099	1277	-0.0062
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	203450671	217854409	9065	0.0603
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	217855545	219857977	1017	-0.013
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	219858510	229651761	6474	0.058
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	229652468	233067111	1540	-0.0242
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	233069420	239175476	3867	-1.0299
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	239175634	239179915	4	-4.234
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	2	239180314	241537572	1341	-1.0698
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	2170634	9463778	4310	0.3045
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	9464367	15601668	3941	0.2489
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	15602228	31832356	9642	0.3077
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	31834608	33059484	717	0.242
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	33059766	43741440	6342	0.2975
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	43742925	45199686	771	0.1245
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	45201863	47016934	1111	0.0802
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	47022946	50304793	1205	-0.0048
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	50305834	50533521	94	0.0572
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	50536444	50537059	2	-0.9115
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	50537881	53317860	1237	0.0557
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	53317944	56924330	2647	0.1581
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	56924538	58659552	953	0.0946
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	58659868	66865618	5165	0.1654
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	66867944	66940075	36	0.2118
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	66940305	70812457	2697	0.3309
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	70814660	73260724	1701	0.2833
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	73261100	75314407	1386	0.353
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	75314423	94025089	7378	0.2046
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	94037888	125151084	17733	0.3639
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	125152841	130210782	2624	0.3029
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	130212605	142906874	7251	0.3622
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	142906936	157167681	7549	0.396
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	157170435	158376633	694	0.3658
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	158380537	158381196	2	1.7422
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	158384293	167237225	4073	0.3636
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	167237524	183133875	8401	0.5083
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	183135882	186124137	1230	0.4429
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	186124152	195345024	5941	0.5045
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	3	195347071	197812401	473	0.4031
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	1059384	8618499	4298	-0.6544
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	8654160	16530174	5166	-0.5682
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	16531753	38379964	13851	0.368
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	38381097	40817135	1240	0.282
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	40820062	57719477	7687	0.3622
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	57719968	66914503	4997	0.3937
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	66914587	67473000	337	0.3561
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	67482586	91679230	13576	-0.5282
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	91680883	91681864	2	-2.6923
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	91684360	182597967	50226	-0.5189
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	182609662	185378604	562	-0.6463
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	4	185379148	187842528	1519	-0.5491
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	913983	7316241	4630	0.0744
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	7318778	13291910	3836	0.1085
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	13292082	80892946	34731	0.0932
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	80894561	125812478	24451	0.1125
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	125813665	135087979	5251	0.0419
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	135088522	137515114	1764	0.108
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	137520115	142453997	2291	0.027
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	142455961	144691152	1578	0.0841
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	144694802	144702939	2	-1.1854
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	144708499	149375524	3020	0.1124
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	149377552	151368670	1303	0.0401
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	151371817	165420377	9036	0.0948
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	165420518	165589281	96	-0.2935
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	165589889	171332350	4103	0.0851
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	171338553	173298415	1075	0.012
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	173305124	175685680	1879	0.0692
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	175686035	178461508	919	-0.0208
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	178463054	178473764	2	-1.1853
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	5	178473983	180934240	1293	-0.0017
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	1011760	3014355	1548	-0.6958
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	3014379	8729792	4159	0.2952
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	8730245	10173011	990	0.3567
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	10173316	12859654	1853	0.3012
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	12859913	18248380	3614	0.2743
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	18253065	24799165	4715	0.3176
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	24800931	33308993	2725	0.2617
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	33334889	33714637	226	0.1608
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	33716536	33721757	3	-0.7178
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	33725633	36428042	1396	0.1876
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	36431788	37712802	828	0.2407
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	37712816	41493194	2757	0.2985
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	41493657	44315711	1515	0.1961
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	44317639	56897687	7668	0.3186
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	56899015	63864321	1255	0.225
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	63868421	67138139	1896	0.0372
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	67138194	69776738	1440	-0.1803
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	69783327	74009077	2541	0.0329
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	74017935	75443734	860	-0.5094
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	75455808	75733618	124	0.0322
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	75733777	84966441	5112	-0.5071
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	84969087	91656161	3916	-0.5424
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	91657925	105497025	7225	-0.501
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	105499275	111945946	3936	-0.5567
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	111946972	130484789	10581	-0.503
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	130484903	130485171	2	-2.42
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	130485485	135855590	3605	-0.5198
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	135855878	157665163	13736	-0.5508
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	157665880	157666606	4	-2.4432
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	157669711	160143444	1619	-0.5972
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	160144596	166202164	3763	-0.5484
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	166202260	170510018	1452	-0.6211
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	6	170511004	170596889	58	-0.442
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	664936	1574625	178	0.567
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	1574866	5042982	1545	0.6591
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	5044007	7127209	604	0.5735
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	7127996	16130033	5589	0.739
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	16131935	16132634	2	-0.6302
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	16137216	22784995	3665	0.7374
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	22786741	44371590	13810	0.7101
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	44376960	45107349	354	0.611
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	45107965	45882579	456	0.7073
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	45885442	55648896	7031	0.7452
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	55649636	65733190	931	0.6686
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	65735810	67000453	379	0.5802
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	67003133	72523231	3239	0.6856
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	72523346	76424968	940	0.561
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	76426530	77610139	302	0.6734
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	77612744	77705235	54	0.4959
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	77711940	77900122	85	0.6784
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	77900371	83890521	3946	0.747
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	83894600	83894863	2	-0.7815
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	83898739	97825668	7033	0.7244
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	97826044	102872041	1834	0.5856
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	102872055	103155504	121	0.7123
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	103156367	103296374	22	0.404
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	103297437	104813925	1072	0.7335
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	104814276	108475970	2078	0.6723
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	108476037	127578847	10249	0.7205
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	127579363	132385327	2457	0.6505
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	132385589	137825371	3482	0.7154
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	137826088	149120873	5835	0.6795
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	149122427	152755649	1703	0.6281
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	152756392	155168578	1195	0.6902
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	155168809	155175417	19	0.3185
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	155176820	156330551	784	0.6967
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	156335270	156335312	2	1.9808
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	156343048	157055010	390	0.6873
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	157059387	157062639	3	-0.4751
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	157063300	157207405	63	0.6728
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	7	157207996	158592540	663	0.5493
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	667625	21870818	12391	-0.5381
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	21871277	21874926	3	-2.4704
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	21876103	30469370	5590	-0.557
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	30469775	74706627	23472	-0.526
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	74708531	93203564	9957	-0.4969
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	93204054	103627688	6240	-0.5409
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	103629400	114946621	5811	-0.4952
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	114952125	114952288	2	-2.0805
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	114954720	116268733	783	-0.4967
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	116270416	122595900	4258	-0.5294
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	122596328	133105786	7337	-0.5594
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	133106847	133106872	2	-2.2902
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	133107105	133208448	89	-0.6465
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	133209210	133209230	2	-2.2153
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	8	133209259	140247507	5395	-0.5539
